image,"['v2', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'v10', 'v11', 'v12', 'v13', 'v14', 'v15', 'v16', 'v17', 'v18', 'v19', 'v20', 'v21', 'v22', 'v23', 'v24', 'v25', 'v26', 'v27', 'v28', 'v29', 'v30', 'v31', 'v32', 'v33', 'v34', 'v35', 'v36', 'v37', 'v38', 'v39', 'v40', 'v41', 'v42', 'v43', 'v44', 'v45', 'v46', 'v47', 'v48', 'v49', 'v50', 'v51', 'v52', 'v53', 'v54']"
in000589.jpg,"['0.00417110293891906', '0.00690966262093765', '0.00830099088575082', '0.00605630042397136', '0.00509592754431394', '0.006081580164615', '0.00318867816653674', '0.00753256639603886', '0.00818833466803361', '0.00299947726295705', '0.00573083522728012', '0.00149274614419777', '0.00520178936466156', '0.00234676506926352', '0.0021674332909671', '0.00202501430966042', '0.000850181117244993', '0.00199393813092847', '0.00236396073328865', '0.00284769805091664', '0.00142212675537816', '0.00665942730508813', '0.00228101031025165', '0.00517029865022542', '0.00583008924975036', '0.00364796384679773', '0.00197592320348176', '0.00192048542744609', '0.00384175304101753', '0.00362730256610078', '0.00459170444612225', '0.0012615927039936', '0.00187356340226191', '0.00272475352246472', '0.00212821249472242', '0.00897644442370997', '0.00496662955686669', '0.0050199599867403', '0.00909274370689896', '0.00723541745895278', '0.0079204379472272', '0.00622643204498425', '0.00713653944669703', '0.00602751780566957', '0.00668134951259629', '0.0035870350169534', '0.006994899795989', '0.00746428568816619', '0.00629252730863687', '0.00558773043933681', '0.00815560157706082', '0.00561001027393276', '0.00543449412791093']"
in000590.jpg,"['0.00435448501931551', '0.00663195054549061', '0.00844178390111495', '0.00626906123431001', '0.00482391769146083', '0.00609263753928131', '0.00323976125544536', '0.00741829339672279', '0.00837535275687999', '0.0030905746970719', '0.00580279630099614', '0.00147413729097127', '0.00508186054610352', '0.00249391147403532', '0.00202945616855648', '0.00199594767990965', '0.000901237598550959', '0.00196063424047088', '0.00240596062634338', '0.00290826469773228', '0.00135408425735992', '0.00667232475065173', '0.00229915029584722', '0.00530646018979966', '0.00581280421381685', '0.00360764686703627', '0.00199122169843868', '0.00184567952970107', '0.0037252732602303', '0.0034207654045445', '0.0045891121419748', '0.0011702097225057', '0.00198419161052352', '0.00273470792440845', '0.00235181518247259', '0.00857410561303102', '0.00493183340930712', '0.00506163424463127', '0.00903342166955619', '0.00716993101729657', '0.00835465907075127', '0.00576256823214353', '0.00701181815079649', '0.00602349123271536', '0.00676438512357678', '0.00365209754521931', '0.00747514484216464', '0.00766297285822378', '0.00613595192578413', '0.005643795396598', '0.00814745261117339', '0.00566541416724108', '0.00530072368632532']"
in000591.jpg,"['0.00451692678651087', '0.00694290800841678', '0.00815235049896208', '0.00628371736529774', '0.00520333678917354', '0.00597289532480943', '0.00335068272834431', '0.00770512095645088', '0.00805460171248183', '0.00335273656113685', '0.00586972026696643', '0.00145634676612905', '0.00501680661370982', '0.00246786338649337', '0.00201893750826424', '0.00204366045491332', '0.000832224088823717', '0.00195711207922764', '0.00236248848213112', '0.00296588752284947', '0.00132291893128928', '0.00668409836653615', '0.00234756756975669', '0.00536430401710146', '0.00573949203223799', '0.00369299844202058', '0.0019732521950196', '0.00182372498031326', '0.0036674182346664', '0.00350778547903111', '0.00461940909984722', '0.00124395673208896', '0.00188724801349582', '0.00272685789883963', '0.00234079272701749', '0.00883200356209233', '0.00493736680626339', '0.00510377452495854', '0.00901646599577647', '0.00722347718282495', '0.0081102302067457', '0.00591813957329874', '0.00711902493236639', '0.00574849805309003', '0.00696472016507742', '0.00358550658346683', '0.00721079752050182', '0.00754875611267691', '0.00618769067500411', '0.00555682572108934', '0.00810059685351734', '0.00564266627955461', '0.00544791064731183']"
in000592.jpg,"['0.00451251420528933', '0.00699290644105842', '0.00804981646535296', '0.00634257907188452', '0.00544816851378993', '0.00614316561209758', '0.00345636123723905', '0.00782559060665599', '0.00811787147600964', '0.00341690766866301', '0.00592170433223832', '0.0013854818166982', '0.00486093722761907', '0.00265212278873938', '0.0018170150092408', '0.00200189636015675', '0.000916580916483857', '0.00199901479352253', '0.00236664620918821', '0.00294254879676515', '0.00136211404139857', '0.00665817708066521', '0.00232114160824551', '0.00537710852729462', '0.00579012070972385', '0.00359983782149581', '0.00202726172990605', '0.00190935856294831', '0.00364265252024953', '0.00336943779600209', '0.00458948764285297', '0.00131131878804269', '0.00184023337029473', '0.00272828487151542', '0.00234815568405498', '0.00905601699464076', '0.00495049980597991', '0.00519193533348969', '0.00889671872770784', '0.0072196842562988', '0.00779962172350131', '0.0059022849349657', '0.00718758553641062', '0.00606163847226387', '0.00666885409841169', '0.00359390527602693', '0.00731660684715258', '0.00761822616993482', '0.00622564187441076', '0.00544857390253157', '0.00818677582419266', '0.00569370548421252', '0.00541821257825828']"
in000593.jpg,"['0.00451645158697339', '0.00709734311267574', '0.00804791944709263', '0.00625504430199219', '0.0054723469567271', '0.00578584027254657', '0.00347469656350279', '0.00855855063265184', '0.0075472435689439', '0.00360857361514464', '0.00637034453136624', '0.00148421297428527', '0.00478748633208476', '0.0025823661873153', '0.00192314918193779', '0.00205651964728725', '0.000843553370439212', '0.00212780532189952', '0.00238300451599396', '0.00299259015048769', '0.0012743738902819', '0.00669361012512308', '0.00216717668615188', '0.00557862716863763', '0.00583037826521464', '0.00366179791075891', '0.00193545021561733', '0.00186815178139131', '0.00336403243181643', '0.00346343321926665', '0.00458151918021023', '0.00124030316620827', '0.00191389058361386', '0.00268785011851197', '0.00239794123209785', '0.00866016463252971', '0.00488928317255902', '0.00502134793175913', '0.00901503624131877', '0.00729367534132007', '0.0081615599033252', '0.00578628800365031', '0.00706317974187416', '0.00598021938665989', '0.00680784157248644', '0.00350517444968475', '0.00751857037413005', '0.00763625886671642', '0.00623327796329225', '0.00553409735382813', '0.0081817045981652', '0.00559250466699398', '0.00536567545789498']"
in000594.jpg,"['0.00465772448655209', '0.00709193829286074', '0.0079703499538128', '0.00623937096805396', '0.00519058356355277', '0.00640369163021978', '0.00368850691451855', '0.00826217073198651', '0.00756663978739472', '0.00362250527438955', '0.00559125386497598', '0.0015879863720609', '0.00478692632523835', '0.00276027896244404', '0.00226281726014902', '0.00207782857720759', '0.0012344247455103', '0.00201167962128604', '0.00241222426300026', '0.00297444433277883', '0.00132341355524407', '0.00668360432454375', '0.00223984830045205', '0.00542161804075042', '0.00583319188492296', '0.00374191198854072', '0.00188673483466236', '0.00188805067988611', '0.00353897186161749', '0.00369070689762137', '0.00459858990728754', '0.00125941312194061', '0.00193505903046594', '0.00269853681696947', '0.00219530161457733', '0.00878503891353375', '0.00495557765765649', '0.00535099115446315', '0.00880653903968792', '0.0071916763463158', '0.00808320060070131', '0.00593287466638609', '0.00700465688895067', '0.00599235947280376', '0.00691800848627843', '0.00352522004037512', '0.00737683388143561', '0.00745849909130864', '0.00631524423959466', '0.00553134616304083', '0.00820541795418197', '0.00564018010201664', '0.00552358537962855']"
in000595.jpg,"['0.00463901586914265', '0.00709129975559846', '0.00815014293759746', '0.00625301547099839', '0.00550103416025452', '0.00628487067160006', '0.00381270040334118', '0.00835021828437896', '0.00757813264636225', '0.00383341889474056', '0.00580819255331546', '0.00151407119356532', '0.00472211029308325', '0.00299307998569724', '0.002452678693741', '0.00209051995255833', '0.00172641612354694', '0.00208374856755851', '0.00236262859045871', '0.00299843331565334', '0.00129506957622036', '0.00667802931137389', '0.00225868354193862', '0.00532243523259096', '0.00584056790008074', '0.00350394273707039', '0.0020412315383713', '0.00187617069189588', '0.00363425569020385', '0.00354728286943049', '0.00461609273626919', '0.00119432168549154', '0.00196173354948381', '0.00277416528661766', '0.00227236771612625', '0.00930886619771411', '0.004857156188804', '0.00496111593687158', '0.0091880159979928', '0.00723662291134001', '0.00764321764171577', '0.00570723136178917', '0.0070059241462849', '0.00617030785724391', '0.00662791275533915', '0.00355969190355631', '0.00766333743879967', '0.0076048013232621', '0.00625773067155406', '0.00542175078879874', '0.0083494248820292', '0.00566643520906561', '0.00540512612066752']"
in000596.jpg,"['0.00472289893359855', '0.00733243439453021', '0.00803660954064859', '0.00629805565120943', '0.00539248567156406', '0.00632555203875719', '0.00397803094431631', '0.00878238471697054', '0.00735853868796647', '0.0037313849218943', '0.00597316053039282', '0.00157030346834335', '0.00470825541694557', '0.00294620986902647', '0.0028513392456064', '0.00205340291773162', '0.00210664537018052', '0.00212160851295966', '0.00235396832073504', '0.00300639772313005', '0.00126473294635958', '0.00668152803062922', '0.00216992639776833', '0.00533311923884338', '0.00578892878618386', '0.00389131643707654', '0.00173256215653535', '0.00187410910741664', '0.00365501181031274', '0.00340429030802793', '0.00465698668962133', '0.00135128425356425', '0.00179624540801298', '0.00282005365578359', '0.0023785156589867', '0.00910294634964729', '0.0047878571163722', '0.00512686499405592', '0.00903069177713322', '0.00718172527590055', '0.00799469775852733', '0.00598457541080065', '0.0070709050680878', '0.00608659289132355', '0.00680202791078887', '0.00359929339741028', '0.00734275549281203', '0.00773176402924373', '0.00627580811374655', '0.00551268757199084', '0.0082254111335129', '0.00568443458767129', '0.00533161277013613']"
in000597.jpg,"['0.00486341809798112', '0.00703033505200278', '0.00845417815225534', '0.00633122773388494', '0.00546762993706237', '0.00635511824059648', '0.00404956069930991', '0.00896472696994959', '0.00735300312056079', '0.00358611358016522', '0.0061725110435256', '0.0015091841652168', '0.00468029679958669', '0.00325338830035366', '0.00271362070874527', '0.00199612767575474', '0.00238625786197183', '0.00200408183827209', '0.00240363663690132', '0.00297435735197603', '0.0012720171662858', '0.0067054331457198', '0.00225721947712246', '0.0056151760308562', '0.00578878975031887', '0.00374993724655348', '0.0019114273907304', '0.00188837538644147', '0.00343185560747099', '0.00357518679077483', '0.00459042333068053', '0.00137922717575415', '0.0018317398888341', '0.00273715541321698', '0.00228609724060892', '0.00875523683122791', '0.00494350595466301', '0.00504355536218264', '0.00920183659217273', '0.00722368763714296', '0.00820135813607543', '0.00597830505003473', '0.00709866904703037', '0.00621579925981253', '0.00666682474778828', '0.00366392808219008', '0.00738795618222955', '0.00764566317328845', '0.00626440969494677', '0.00564066767445329', '0.0081228885318944', '0.00567190061472127', '0.0054214419040822']"
in000598.jpg,"['0.00493915552454138', '0.00738300465051336', '0.00841957589595189', '0.0064499405729425', '0.00567128198247975', '0.00646866583856008', '0.00400972795428672', '0.00881780795104067', '0.00780357190303206', '0.0036217158203584', '0.00610627020763943', '0.00151242049031577', '0.00468370964768076', '0.00315526993691276', '0.00296180906748778', '0.00194656128259765', '0.00246921571066943', '0.00207318237154114', '0.0023722908279544', '0.00299510559353112', '0.00123356739493574', '0.00669519166701899', '0.00219626207376996', '0.0053341829970566', '0.00584778548106531', '0.00370106367857575', '0.00194592640012795', '0.00190443008303731', '0.00370066821829011', '0.00363454947306331', '0.00461598085713127', '0.00152540726306477', '0.00172394785976296', '0.00277802003445047', '0.00228973347059597', '0.0091740521967033', '0.00491014017337018', '0.00507202569124253', '0.00919124060099775', '0.00725081648332639', '0.00792658142067457', '0.00579466520466293', '0.00715427558546351', '0.00589778612605528', '0.00695478669349851', '0.003643777371705', '0.00759822585042769', '0.00746809425891116', '0.00630212607168956', '0.00555793197860373', '0.00831345289362412', '0.00563520973274098', '0.00556840904262475']"
in000599.jpg,"['0.0049546888262148', '0.00742472507378763', '0.00892447831226274', '0.00645153758456', '0.00585998089027529', '0.0062570053991917', '0.00384881154933669', '0.00922862703960995', '0.00742976986823542', '0.00378801623389454', '0.0064634164987398', '0.00142032687095393', '0.00468608614039957', '0.00322223801369612', '0.0029363215558258', '0.00196326314965196', '0.00257432175030276', '0.00197220214457968', '0.00239866823976386', '0.00294100785550527', '0.00127795799366407', '0.00669398184768082', '0.00226668141938893', '0.00520754987191452', '0.00585413736235877', '0.00370331459859712', '0.00194973697213567', '0.00192206400938992', '0.00390509546759153', '0.0033254218990245', '0.00465396509846399', '0.00141205212838906', '0.0018672859006699', '0.00276169509519738', '0.00252859887723801', '0.00897165961291768', '0.00491088291837472', '0.00536404895480719', '0.00909407759780048', '0.00714141532677322', '0.00830212234553964', '0.00599466683270308', '0.0072263153884085', '0.00594967981463847', '0.00696908329609361', '0.0036576027611842', '0.00743768592559229', '0.00777086398732366', '0.00623308806709202', '0.00564064513240872', '0.00823573816938761', '0.00561572568728448', '0.00543276315287001']"
in000600.jpg,"['0.0050898657879419', '0.00800003385781842', '0.00867241557940915', '0.00647314941139052', '0.00632233917609221', '0.00675708290719098', '0.0039251072728392', '0.00892427302893118', '0.00808186676262911', '0.00356875856586413', '0.00629711718880354', '0.00168278742641186', '0.00463929172859211', '0.00328829211729837', '0.00309189310131518', '0.00206915358221079', '0.00272236065288545', '0.00197088298397922', '0.00239600080808161', '0.00290968429899134', '0.00130909167369937', '0.00671577805910739', '0.00224794248827794', '0.00521177334001914', '0.00584520640422782', '0.0036958061173218', '0.00194971448415008', '0.00188703873957608', '0.00386389943965765', '0.0034115118985075', '0.00471928561753768', '0.00132475993318174', '0.00200929368994642', '0.00277884710955873', '0.00242676248700545', '0.00920910350705857', '0.00488900205322809', '0.00524739530760788', '0.00918986084425418', '0.00720326590152277', '0.0079544708984367', '0.00565422197109135', '0.00723312613242984', '0.0060694504410675', '0.00682156790590207', '0.00366670403350033', '0.00772723356350594', '0.00752530241667704', '0.00631899995682292', '0.0056689892901968', '0.00829762044070379', '0.00564368719218101', '0.00558112251365166']"
in000601.jpg,"['0.0049995376486173', '0.00755429889680902', '0.00923374842832898', '0.00660447401509665', '0.00612930001960844', '0.0068356586680455', '0.00375891069399879', '0.00953644044572547', '0.00786553123221264', '0.0034597009814303', '0.00686275266402063', '0.00202088521791127', '0.00459726876712038', '0.00333131616603987', '0.00320360681003137', '0.00210064441357653', '0.00286395711640628', '0.00195794704147936', '0.00235428252605374', '0.00296664513687479', '0.00123429835314119', '0.00668650515843296', '0.00225979329866118', '0.00501901002237788', '0.00582348056596433', '0.00388792439739657', '0.00195401555195997', '0.00187333204339616', '0.00408832111949289', '0.00338433968886459', '0.00464459843665442', '0.0016740301038642', '0.00206378512371501', '0.00275668224979493', '0.00252080995430594', '0.00926151947553771', '0.00489087771596109', '0.00526572493809274', '0.00913649247966381', '0.0072240524702316', '0.00798269114843416', '0.0060124779966766', '0.00724052234698624', '0.00592789398915247', '0.00698317204340913', '0.00365946552528589', '0.00739979280942512', '0.00764209627598065', '0.00622431786459528', '0.00583097906113651', '0.00815092999299309', '0.00564401214549809', '0.00553810509062018']"
in000602.jpg,"['0.00512195850668758', '0.00760669514782262', '0.00921664225100818', '0.00668040688043482', '0.00602651259577707', '0.00715491266797848', '0.00384618637863427', '0.00957754462575951', '0.00780362085929642', '0.00348145840471095', '0.00721073961093725', '0.00199008030828893', '0.00464338249177385', '0.00312575720253923', '0.00305166251686756', '0.00202815468652676', '0.00301170027318123', '0.00193653705373571', '0.00236429904223531', '0.00292939071505347', '0.00129229559729579', '0.00668671151384108', '0.00231595227878329', '0.00529101940938559', '0.00579960217072739', '0.0046391264867653', '0.00186231804550303', '0.00194714740015731', '0.00384559081296534', '0.00348572812454808', '0.00459953503357957', '0.00195598409310779', '0.00229888816088226', '0.00276288945781265', '0.00240659085514712', '0.00884115058543046', '0.00495663166708051', '0.00526570834270188', '0.00914473422935086', '0.00728812383017185', '0.00832568927204978', '0.0060563943820103', '0.00713464896818642', '0.00603934184815818', '0.00703102631822755', '0.00363226562438679', '0.00739437768475259', '0.00764994445514446', '0.00628451740189414', '0.0057263697544107', '0.00825219570913753', '0.00569170858421562', '0.00556876465189801']"
